상가업소번호,상호명,시도명,도로명,행정동명,시군구명,경도,위도
MA010120220800047145,거목,제주특별자치도,제주특별자치도 제주시 한림읍 사가길,한림읍,제주시,126.263835411187,33.4147640922049
MA010120220800042674,협재조랑게,제주특별자치도,제주특별자치도 제주시 한림읍 협재1길,한림읍,제주시,126.245132767008,33.3994238960066
MA010120220800059037,메가엠지씨커피제주서홍점,제주특별자치도,제주특별자치도 서귀포시 중앙로,서홍동,서귀포시,126.558534988152,33.2622567849505
MA010120220800052575,리썸룸lissomroom,제주특별자치도,제주특별자치도 제주시 애월읍 광성로,애월읍,제주시,126.434363455948,33.459809977976
MA010120220800061720,구들,제주특별자치도,제주특별자치도 제주시 전농로,삼도1동,제주시,126.519094059836,33.5043006519829
MA010120220800063108,레이오버,제주특별자치도,제주특별자치도 제주시 구좌읍 해맞이해안로,구좌읍,제주시,126.812384089406,33.5586197841455
MA010120220800091121,락희,제주특별자치도,제주특별자치도 제주시 서사로,삼도2동,제주시,126.520206870031,33.5054680190973
MA010120220800099879,오브제주,제주특별자치도,제주특별자치도 서귀포시 일주동로,효돈동,서귀포시,126.618515316572,33.2603544695824
MA010120220800107328,용우개발,제주특별자치도,제주특별자치도 제주시 한경면 용금로,한경면,제주시,126.193850047651,33.3353500170771
MA010120220800131410,드롭탑서귀포갤러리왈점,제주특별자치도,제주특별자치도 서귀포시 칠십리로214번길,동홍동,서귀포시,126.573663980957,33.2453048323859
MA010120220800149771,롱리브,제주특별자치도,제주특별자치도 제주시 아란3길,아라동,제주시,126.541528301666,33.4765895438353
MA010120220800146507,얼마나오렌지,제주특별자치도,제주특별자치도 제주시 오라남로,오라동,제주시,126.512257973555,33.4586171972557
MA010120220800167752,금능맛차롱,제주특별자치도,제주특별자치도 제주시 한림읍 금능길,한림읍,제주시,126.236204177064,33.3903984580745
MA010120220800178552,마더카페,제주특별자치도,제주특별자치도 서귀포시 남원읍 태위로894번길,남원읍,서귀포시,126.741529392173,33.2813004016351
MA010120220800195270,컴플리트,제주특별자치도,제주특별자치도 제주시 국기로4길,연동,제주시,126.491297478855,33.4782418321104
MA010120220800223475,카페송키,제주특별자치도,제주특별자치도 제주시 무근성안길,삼도2동,제주시,126.52019657892,33.515133029069
MA010120220800235474,제3공간,제주특별자치도,제주특별자치도 제주시 연화중길,연동,제주시,126.488841505057,33.4769154011564
MA010120220800230664,드릴러스커피,제주특별자치도,제주특별자치도 제주시 우평로,외도동,제주시,126.451437632585,33.4797217372113
MA010120220800229581,수까페테라스,제주특별자치도,제주특별자치도 제주시 한림읍 한림상로,한림읍,제주시,126.268951485367,33.4200506002611
MA010120220800236783,소이재,제주특별자치도,제주특별자치도 제주시 다랑곶3길,노형동,제주시,126.478537274295,33.4890620037643
MA010120220800277101,로이셀,제주특별자치도,제주특별자치도 제주시 신설로9길,이도2동,제주시,126.546071030365,33.4946562026827
MA010120220800272907,숑,제주특별자치도,제주특별자치도 서귀포시 남원읍 공천포로,남원읍,서귀포시,126.642766919296,33.2663412103428
MA010120220800297506,에이바우트커피뷰하귀포구점,제주특별자치도,제주특별자치도 제주시 애월읍 하귀12길,애월읍,제주시,126.408388391256,33.4864569349011
MA010120220800289902,코너,제주특별자치도,제주특별자치도 제주시 광양10길,이도2동,제주시,126.528947920814,33.4991092735552
MA010120220800290806,날쌘카페제주,제주특별자치도,제주특별자치도 제주시 남광북3길,이도2동,제주시,126.535246355817,33.4945169010645
MA010120220800304747,제레미,제주특별자치도,제주특별자치도 제주시 애월읍 애월로,애월읍,제주시,126.31854495106,33.4644476367577
MA010120220800306956,미스틱3도,제주특별자치도,제주특별자치도 제주시 1100로,노형동,제주시,126.487364724429,33.4499876610095
MA010120220800299360,베러먼데이노형,제주특별자치도,제주특별자치도 제주시 노형11길,노형동,제주시,126.477667543798,33.4833783135711
MA010120220800315936,다몰,제주특별자치도,제주특별자치도 제주시 칠성로길,일도1동,제주시,126.523907744293,33.5135695650759
MA010120220800311430,카페베네제주점,제주특별자치도,제주특별자치도 제주시 연북로,노형동,제주시,126.48183702564,33.4824401282528
MA010120220800331189,제대가는길,제주특별자치도,제주특별자치도 제주시 제주대학로,아라동,제주시,126.558440443365,33.4597008955064
MA010120220800370927,한량,제주특별자치도,제주특별자치도 제주시 노형4길,노형동,제주시,126.475071444559,33.4821051160445
MA010120220800383701,타임스탬프,제주특별자치도,제주특별자치도 제주시 조천읍 신북로,조천읍,제주시,126.623741439471,33.5348119474083
MA010120220800382898,제주빽다방,제주특별자치도,제주특별자치도 제주시 남광로2길,이도2동,제주시,126.541102774103,33.4899586295326
MA010120220800372591,예스예스커피,제주특별자치도,제주특별자치도 제주시 구남동8길,이도2동,제주시,126.537685405823,33.4871059048655
MA010120220800398557,끄티탑동,제주특별자치도,제주특별자치도 제주시 서부두길,건입동,제주시,126.528478145351,33.5182662981979
MA010120220800384923,라움인제주,제주특별자치도,제주특별자치도 서귀포시 성산읍 신양로,성산읍,서귀포시,126.915390061355,33.4354746906691
MA010120220800458791,라그라스,제주특별자치도,제주특별자치도 서귀포시 표선면 세성로,표선면,서귀포시,126.803303594279,33.3117894746839
MA010120220800453016,흐림,제주특별자치도,제주특별자치도 제주시 조천읍 중산간동로,조천읍,제주시,126.701413327047,33.5109148900382
MA010120220800453092,블루오션,제주특별자치도,제주특별자치도 제주시 우도면 우도해안길,우도면,제주시,126.957484912469,33.5134312629103
MA010120220800460852,무인카페등대,제주특별자치도,제주특별자치도 서귀포시 남원읍 남태해안로,남원읍,서귀포시,126.720424868854,33.2779727874854
MA010120220800463521,리치망고도두해안로점,제주특별자치도,제주특별자치도 제주시 서해안로,도두동,제주시,126.468418210416,33.5056533366964
MA010120220800518068,양군의케익한접시,제주특별자치도,제주특별자치도 제주시 일주동로,삼양동,제주시,126.581325884182,33.5210076981155
MA010120220800516234,더리트리브,제주특별자치도,제주특별자치도 서귀포시 안덕면 화순로,안덕면,서귀포시,126.338557470589,33.2479553143046
MA010120220800525845,사우스카페,제주특별자치도,제주특별자치도 서귀포시 안덕면 화순로,안덕면,서귀포시,126.325915334626,33.2453899582715
MA010120220800617055,메이플,제주특별자치도,제주특별자치도 제주시 한림읍 명월로,한림읍,제주시,126.267361229248,33.3840768166978
MA010120220800611874,달봉,제주특별자치도,제주특별자치도 제주시 우도면 우도해안길,우도면,제주시,126.955047312148,33.5232758921714
MA010120220800636648,에이바우트커피도련점,제주특별자치도,제주특별자치도 제주시 건주로3길,삼양동,제주시,126.581413961127,33.516130381755
MA010120220800627130,컬러랩제주,제주특별자치도,제주특별자치도 제주시 애월읍 장전로,애월읍,제주시,126.38979032465,33.4518990181289
MA010120220800646759,니모스토리,제주특별자치도,제주특별자치도 제주시 구좌읍 김녕로17길,구좌읍,제주시,126.753985457976,33.5582560467737
MA010120220800646410,투빅,제주특별자치도,제주특별자치도 서귀포시 남원읍 태위로,남원읍,서귀포시,126.719626762362,33.2791521283738
MA010120220800637698,베카신,제주특별자치도,제주특별자치도 제주시 조천읍 우진오름길,조천읍,제주시,126.710209119118,33.4649450783294
MA010120220800638253,달리는커피서귀포,제주특별자치도,제주특별자치도 서귀포시 중앙로59번길,천지동,서귀포시,126.560957246039,33.250030252264
MA010120220800637250,달에사는고래,제주특별자치도,제주특별자치도 제주시 애월읍 고성남3길,애월읍,제주시,126.427006534595,33.4351987354701
MA010120220800657323,달콤커피제주,제주특별자치도,제주특별자치도 제주시 공항로,용담2동,제주시,126.495956962825,33.5059397371195
MA010120220800657346,미깡,제주특별자치도,제주특별자치도 서귀포시 남원읍 하례로,남원읍,서귀포시,126.620236841615,33.279176756438
MA010120220800651054,오니리크,제주특별자치도,제주특별자치도 서귀포시 홍중로27번길,서홍동,서귀포시,126.557454356624,33.2552112233899
MA010120220800687128,컴포즈커피서귀포서광점,제주특별자치도,제주특별자치도 서귀포시 안덕면 중산간서로,안덕면,서귀포시,126.322272673238,33.2891344549054
MA010120220800688922,콜라비,제주특별자치도,제주특별자치도 제주시 조천읍 남조로,조천읍,제주시,126.674621607076,33.4281704147357
MA010120220800689770,모레기동타잔,제주특별자치도,제주특별자치도 서귀포시 배낭골로21번길,영천동,서귀포시,126.591711182465,33.2916550134295
MA010120220800686522,그리너리,제주특별자치도,제주특별자치도 서귀포시 소보리당로,예래동,서귀포시,126.384151836959,33.2615875084475
MA010120220800696331,리투스,제주특별자치도,제주특별자치도 제주시 구좌읍 세화7길,구좌읍,제주시,126.859327751475,33.5241328168438
MA010120220800754048,어클락,제주특별자치도,제주특별자치도 제주시 애월읍 고성북동길,애월읍,제주시,126.418079394966,33.4628451045188
MA010120220800779414,루마인;퍼즈;투썸플레이스제주루마인점,제주특별자치도,제주특별자치도 제주시 구좌읍 해맞이해안로,구좌읍,제주시,126.901322843762,33.4841963026117
